"driverid","raceid","stintnumber","numberoflaps","startlap","tire"
"825","1025","1","27","1","C4"
"825","1026","1","17","1","C2"
"825","1031","1","24","1","C3"
"826","1024","1","12","1","C4"
"826","1025","1","27","1","C2"
"826","1026","1","27","1","C3"
"826","1030","1","40","1","C3"
"830","1025","1","28","1","C4"
"830","1026","1","14","1","C3"
"830","1030","1","25","1","C4"
"830","1031","1","11","1","C3"
"830","1032","1","24","1","C4"
"832","1025","1","21","1","C4"
"832","1026","1","26","1","C3"
"832","1030","1","12","1","C5"
"842","1023","1","28","1","C3"
"842","1025","1","26","1","C3"
"842","1026","1","18","1","C3"
"844","1025","1","22","1","C4"
"844","1026","1","3","1","C3"
"844","1030","1","12","1","C4"
"846","1023","1","23","1","C3"
"846","1025","1","20","1","C4"
"846","1026","1","4","1","C3"
"846","1030","1","8","1","C5"
"847","1023","1","23","1","C3"
"847","1024","1","1","1","C4"
"847","1025","1","27","1","C3"
"847","1026","1","25","1","C2"
"847","1031","1","25","1","C3"
